ordinal,app,group,route,renderedPath,finalUrl,status,template,verdict,screenshot,h1,activeNav,notes,exists,renders,correctShell,correctRoleNav,h1Clarity,primaryCtaClarity,templateFit,antiNoise,density,visualConsistency,recoveryEmptyState,demoScenarioReadiness
31,web,Supervisor,/supervisor/availability,/supervisor/availability,http://localhost:3000/supervisor/availability,200,CalendarSettings,PASS,screenshots/31-supervisor-supervisor-availability.png,일정 관리,가능 시간 / 가능 시간 / 가능 시간,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
32,web,Supervisor,/supervisor/memory,/supervisor/memory,http://localhost:3000/supervisor/memory,200,ArchiveList,PASS,screenshots/32-supervisor-supervisor-memory.png,기록 폴더,기록 폴더 / 기록 폴더 / 기록 폴더,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
33,web,Supervisor,/supervisor/payouts,/supervisor/payouts,http://localhost:3000/supervisor/payouts,200,OperationalList,PASS,screenshots/33-supervisor-supervisor-payouts.png,정산 내역,정산 내역 / 정산 내역 / 정산 내역,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
34,web,Supervisor,/supervisor/qualifications,/supervisor/qualifications,http://localhost:3000/supervisor/qualifications,200,SettingsListForm,PASS,screenshots/34-supervisor-supervisor-qualifications.png,자격 심사,자격 정보 / 자격 정보 / 자격 정보,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
35,web,Supervisor,/me,/me,http://localhost:3000/supervisor,200,RoleAlias,INTENTIONALLY REDIRECTED,screenshots/35-supervisor-me.png,정확한 평가 전문가,업무 홈 / 업무 홈 / 업무 홈,intentional alias/redirect to /supervisor,5,4,5,5,5,5,5,5,5,5,5,4
36,admin,Admin,/,/,http://localhost:3001/admin,200,AdminAlias,INTENTIONALLY REDIRECTED,screenshots/36-admin-home.png,운영 처리 목록,관리자 홈 / 관리자 홈 / 관리자 홈 / 관리자 홈,intentional alias/redirect to /admin,5,4,5,5,5,5,5,5,5,5,5,4
37,admin,Admin,/admin,/admin,http://localhost:3001/admin,200,AdminHome,PASS,screenshots/37-admin-admin.png,운영 처리 목록,관리자 홈 / 관리자 홈 / 관리자 홈 / 관리자 홈,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
38,admin,Admin,/admin/queue,/admin/queue,http://localhost:3001/admin/queue,200,AdminTable,PASS,screenshots/38-admin-admin-queue.png,대기열,대기열 / 대기열 / 대기열 / 대기열,captured and rendered,5,5,5,5,5,5,4,5,5,5,5,5
39,admin,Admin,/admin/qualifications,/admin/qualifications,http://localhost:3001/admin/qualifications,200,AdminTable,PASS,screenshots/39-admin-admin-qualifications.png,자격 심사,자격 심사 / 자격 심사 / 자격 심사 / 자격 심사,captured and rendered,5,5,5,5,5,5,4,5,5,5,5,5
40,admin,Admin,/admin/refunds,/admin/refunds,http://localhost:3001/admin/refunds,200,AdminTable,PASS,screenshots/40-admin-admin-refunds.png,환불,환불 / 환불 / 환불 / 환불,captured and rendered,5,5,5,5,5,5,5,5,4,5,5,5
41,admin,Admin,/admin/payouts,/admin/payouts,http://localhost:3001/admin/payouts,200,AdminTable,PASS,screenshots/41-admin-admin-payouts.png,정산,정산 / 정산 / 정산 / 정산,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
42,admin,Admin,/admin/audit,/admin/audit,http://localhost:3001/admin/audit,200,AdminTable,PASS,screenshots/42-admin-admin-audit.png,감사 로그,감사 로그 / 감사 로그 / 감사 로그 / 감사 로그,captured and rendered,5,5,5,5,5,5,5,5,4,5,5,5
43,admin,Admin,/payouts,/payouts,http://localhost:3001/admin/payouts,200,AdminAlias,INTENTIONALLY REDIRECTED,screenshots/43-admin-payouts.png,정산,정산 / 정산 / 정산 / 정산,intentional alias/redirect to /admin/payouts,5,4,5,5,5,5,5,5,5,5,5,4
44,admin,Admin,/refunds,/refunds,http://localhost:3001/admin/refunds,200,AdminAlias,INTENTIONALLY REDIRECTED,screenshots/44-admin-refunds.png,환불,환불 / 환불 / 환불 / 환불,intentional alias/redirect to /admin/refunds,5,4,5,5,5,5,5,5,4,5,5,4
